cyclecount,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53
489,-70.4048,-87.19772,88.47059,27.18177,22.64797,132.18177,24.87805,237.18177,8.81121,-67.06789,-88.63607,91.76471,27.18177,22.98967,132.18177,21.58537,237.18177,12.05283,-71.91136,-99.7717,99.29412,27.18177,24.99572,132.18177,27.80488,237.18177,14.77441,-66.69998,11.58293,73.41176,27.18177,18.39619,132.18177,12.80488,237.18177,15.839,-63.07575,4.28961,74.35294,27.18177,18.97144,132.18177,14.26829,237.18177,12.06759,-64.082,3.71977,74.82353,27.18177,18.97813,132.18177,19.7561,237.18177,11.68621
490,-69.67503,-87.3859,88.47059,27.23735,22.72619,132.23735,24.87805,237.23735,7.7969,-66.71407,-88.96509,91.76471,27.23735,23.05436,132.23735,21.58537,237.23735,13.1915,-71.82134,-100.28054,99.29412,27.23735,25.07517,132.23735,27.80488,237.23735,14.27848,-66.79587,10.98972,73.41176,27.23735,18.44915,132.23735,12.80488,237.23735,15.839,-62.63443,3.89244,74.35294,27.23735,18.97144,132.23735,13.53659,237.23735,12.29296,-63.62549,3.34359,74.82353,27.23735,19.0012,132.23735,19.7561,237.23735,12.20481
491,-68.99127,-87.69364,89.88235,27.29294,22.80564,132.29294,24.87805,237.29294,8.81121,-66.27372,-89.35412,92.23529,27.29294,23.13381,132.29294,21.58537,237.29294,18.37681,-71.47938,-100.70191,100.23529,27.29294,25.15462,132.29294,27.80488,237.29294,14.14712,-66.88305,10.42107,73.88235,27.29294,18.51016,132.29294,12.80488,237.29294,15.839,-62.23066,3.61168,73.41176,27.29294,18.97144,132.29294,13.53659,237.29294,18.24555,-63.1918,2.84992,74.82353,27.29294,19.02106,132.29294,19.7561,237.29294,15.41624
492,-68.34764,-87.99912,90.82353,27.34853,22.88509,132.34853,24.87805,237.34853,8.85541,-66.01161,-89.89489,93.17647,27.34853,23.22189,132.34853,21.58537,237.34853,12.24614,-71.15311,-101.08821,100.23529,27.34853,25.23406,132.34853,27.80488,237.34853,30.0,-66.9676,9.90176,73.88235,27.34853,18.56304,132.34853,12.80488,237.34853,14.37114,-61.8557,3.41644,73.41176,27.34853,18.97144,132.34853,13.53659,237.34853,12.21362,-62.47055,2.51273,73.41176,27.34853,19.04445,132.34853,19.7561,237.34853,12.32532
493,-67.67972,-88.22336,90.82353,27.40411,22.96453,132.40411,24.87805,237.40411,11.47816,-66.04853,-90.50093,94.11765,27.40411,23.3073,132.40411,21.58537,237.40411,12.93227,-70.79919,-101.43137,100.23529,27.40411,25.31351,132.40411,27.80488,237.40411,16.41131,-67.08443,9.38003,74.82353,27.40411,18.62,132.40411,12.80488,237.40411,14.72395,-61.92735,3.46551,73.41176,27.40411,18.97144,132.40411,13.53659,237.40411,30.0,-62.31542,1.99534,73.41176,27.40411,19.06191,132.40411,18.67599,237.40411,10.51116
494,-67.08816,-88.52625,91.76471,27.4597,23.04398,132.4597,24.87805,237.4597,11.68621,-66.27287,-91.0607,94.11765,27.4597,23.39805,132.4597,21.58537,237.4597,13.67237,-70.48861,-101.82741,101.64706,27.4597,25.39296,132.4597,27.80488,237.4597,17.35447,-67.14533,8.86153,74.82353,27.4597,18.67565,132.4597,12.80488,237.4597,15.839,-61.99751,3.50182,73.41176,27.4597,18.97144,132.4597,13.53659,237.4597,30.0,-62.12657,1.401,73.41176,27.4597,19.08917,132.4597,18.29268,237.4597,12.23905
495,-66.52756,-88.8508,91.76471,27.51529,23.12343,132.51529,24.87805,237.51529,11.68621,-66.72399,-91.40989,94.11765,27.51529,23.48614,132.51529,21.58537,237.51529,12.65096,-70.12988,-102.17459,101.64706,27.51529,25.47145,132.51529,27.80488,237.51529,17.64651,-67.09231,8.37907,75.29412,27.51529,18.72005,132.51529,12.80488,237.51529,15.839,-62.07229,3.5374,73.41176,27.51529,18.97144,132.51529,13.53659,237.51529,30.0,-61.8683,0.80194,73.41176,27.51529,19.12095,132.51529,18.29268,237.51529,11.42494
496,-66.02102,-89.31309,92.23529,27.57087,23.20499,132.57087,24.87805,237.57087,11.27929,-67.06919,-91.86482,95.52941,27.57087,23.56981,132.57087,21.58537,237.57087,14.86707,-69.71698,-102.45441,101.64706,27.57087,25.54744,132.57087,27.80488,237.57087,25.05223,-66.98289,7.91569,75.29412,27.57087,18.75977,132.57087,12.80488,237.57087,16.62101,-62.14479,3.58458,73.41176,27.57087,18.97144,132.57087,13.53659,237.57087,30.0,-61.78699,0.156,73.41176,27.57087,19.12262,132.57087,18.29268,237.57087,10.87051
497,-65.64955,-90.164,93.17647,27.62646,23.32627,132.62646,24.87805,237.62646,8.81121,-67.58599,-92.13367,94.58824,27.62646,23.6623,132.62646,21.58537,237.62646,13.76261,-69.2239,-102.76036,102.58824,27.62646,25.6313,132.62646,28.53659,237.62646,16.68847,-66.8646,7.43884,75.76471,27.62646,18.7995,132.62646,12.80488,237.62646,18.69404,-62.21235,3.62215,73.41176,27.62646,18.97144,132.62646,13.53659,237.62646,30.0,-61.87149,-0.5618,73.41176,27.62646,19.09759,132.62646,17.0186,237.62646,11.68621
498,-66.0255,-90.87931,94.11765,27.68205,23.43815,132.68205,24.87805,237.68205,6.99276,-67.94753,-92.4522,94.58824,27.68205,23.74175,132.68205,21.58537,237.68205,14.14664,-68.74449,-102.90441,102.58824,27.68205,25.70211,132.68205,28.53659,237.68205,13.27115,-66.76488,6.94992,75.76471,27.68205,18.83922,132.68205,12.80488,237.68205,18.69404,-62.28818,3.65993,73.41176,27.68205,18.97144,132.68205,12.07317,237.68205,30.0,-61.81725,-1.26093,73.41176,27.68205,19.0796,132.68205,16.46341,237.68205,11.68621
499,-66.60805,-91.52358,95.52941,27.73763,23.56461,132.73763,24.87805,237.73763,7.38472,-68.32946,-92.75055,95.52941,27.73763,23.81506,132.73763,21.58537,237.73763,18.66294,-68.25059,-103.14534,103.52941,27.73763,25.78155,132.73763,28.53659,237.73763,16.90134,-66.59543,6.46368,76.23529,27.73763,18.86413,132.73763,12.80488,237.73763,18.69404,-62.36224,3.70365,73.41176,27.73763,18.97144,132.73763,12.07317,237.73763,30.0,-61.82973,-1.98712,73.41176,27.73763,19.05976,132.73763,16.46341,237.73763,8.50372
500,-67.29742,-91.91726,95.52941,27.79322,23.68379,132.79322,24.87805,237.79322,7.12129,-68.74311,-93.07402,94.58824,27.79322,23.90064,132.79322,21.58537,237.79322,16.90134,-67.74393,-103.43879,103.52941,27.79322,25.861,132.79322,28.53659,237.79322,15.10221,-66.26475,5.98982,75.76471,27.79322,18.89468,132.79322,12.80488,237.79322,16.41727,-62.42776,3.74369,73.41176,27.79322,18.97144,132.79322,12.07317,237.79322,30.0,-61.61173,-2.69364,73.41176,27.79322,19.03541,132.79322,16.46341,237.79322,8.33067
501,-67.91354,-92.30777,94.58824,27.8488,23.79221,132.8488,24.87805,237.8488,8.81121,-69.15397,-93.54639,96.0,27.8488,23.98873,132.8488,21.58537,237.8488,16.30513,-67.20177,-103.63711,104.94118,27.8488,25.93623,132.8488,28.53659,237.8488,20.4951,-65.8746,5.52365,75.76471,27.8488,18.91441,132.8488,12.80488,237.8488,14.19571,-62.50406,3.78245,74.35294,27.8488,18.97144,132.8488,11.70732,237.8488,30.0,-61.20609,-3.24093,73.41176,27.8488,19.01466,132.8488,15.55295,237.8488,10.12892
502,-68.4808,-92.60699,95.52941,27.90439,23.88697,132.90439,24.87805,237.90439,10.17953,-69.53652,-93.9776,95.52941,27.90439,24.07681,132.90439,21.58537,237.90439,12.46486,-66.52733,-103.76171,104.94118,27.90439,26.0199,132.90439,28.90244,237.90439,12.85188,-65.44709,5.02252,75.29412,27.90439,18.9303,132.90439,12.80488,237.90439,12.35912,-62.71411,3.93283,74.35294,27.90439,18.97144,132.90439,11.34146,237.90439,30.0,-60.96718,-3.88293,73.88235,27.90439,18.99517,132.90439,14.63415,237.90439,9.55273
503,-68.92103,-92.9795,94.58824,27.95998,23.97436,132.95998,24.87805,237.95998,13.30171,-69.87923,-94.43545,95.52941,27.95998,24.16489,132.95998,21.58537,237.95998,13.33628,-65.87228,-103.77768,105.88235,27.95998,26.09071,132.95998,28.90244,237.95998,11.31979,-64.96262,4.50261,75.29412,27.95998,18.94618,132.95998,12.80488,237.95998,10.81541,-63.38165,4.19516,74.35294,27.95998,18.96281,132.95998,11.34146,237.95998,8.83557,-60.92023,-4.4537,73.88235,27.95998,18.97765,132.95998,14.63415,237.95998,10.30988
504,-69.32521,-93.42708,94.58824,28.01556,24.06175,133.01556,24.87805,238.01556,13.55497,-70.23653,-94.9518,96.94118,28.01556,24.25297,133.01556,21.58537,238.01556,14.21456,-65.27944,-103.92649,106.82353,28.01556,26.16152,133.01556,28.17073,238.01556,11.55128,-64.42218,3.98592,74.82353,28.01556,18.95417,133.01556,12.80488,238.01556,10.12892,-63.63869,3.66889,74.82353,28.01556,18.95168,133.01556,11.34146,238.01556,8.45453,-60.90282,-4.68375,73.88235,28.01556,18.97002,133.01556,14.6191,238.01556,16.15652
505,-69.65961,-93.9421,95.52941,28.07115,24.14243,133.07115,25.73145,238.07115,13.55497,-70.58159,-95.42186,96.47059,28.07115,24.33242,133.07115,21.58537,238.07115,11.9971,-64.6469,-104.08908,106.82353,28.07115,26.24096,133.07115,28.17073,238.07115,14.31631,-63.90337,3.47697,74.82353,28.07115,18.9596,133.07115,12.80488,238.07115,8.81121,-63.03469,2.89426,74.82353,28.07115,18.92923,133.07115,11.34146,238.07115,10.5842,-60.48618,-5.20036,73.88235,28.07115,18.94732,133.07115,14.37869,238.07115,22.76769
506,-69.91415,-94.53933,96.94118,28.12674,24.23392,133.12674,25.97561,238.12674,12.21465,-70.88977,-95.92118,96.94118,28.12674,24.4205,133.12674,21.58537,238.12674,13.93176,-64.11967,-104.49866,107.29412,28.12674,26.32041,133.12674,28.17073,238.12674,11.0519,-63.45655,2.97149,74.82353,28.12674,18.95678,133.12674,12.80488,238.12674,10.71198,-62.64977,2.23386,74.82353,28.12674,18.91099,133.12674,8.97714,238.12674,17.49206,-60.31962,-5.7733,74.35294,28.12674,18.92974,133.12674,14.26829,238.12674,19.84042
507,-70.22242,-94.896,96.94118,28.18232,24.30082,133.18232,25.97561,238.18232,13.61494,-71.20307,-96.40982,96.94118,28.18232,24.49995,133.18232,21.58537,238.18232,13.35144,-63.62029,-104.86356,107.76471,28.18232,26.39047,133.18232,28.17073,238.18232,10.95444,-63.02284,2.45706,74.82353,28.18232,18.95417,133.18232,12.80488,238.18232,10.69299,-62.33465,1.37767,73.41176,28.18232,18.89297,133.18232,8.78049,238.18232,5.90785,-60.0397,-6.24495,74.35294,28.18232,18.90002,133.18232,14.26829,238.18232,12.66532
508,-70.48296,-95.13105,96.94118,28.23791,24.34812,133.23791,25.97561,238.23791,16.32483,-71.52126,-96.92167,96.47059,28.23791,24.58803,133.23791,21.58537,238.23791,13.79373,-63.30105,-105.34426,108.23529,28.23791,26.4561,133.23791,28.17073,238.23791,12.5761,-62.67915,1.87677,74.82353,28.23791,18.94953,133.23791,12.80488,238.23791,10.93205,-62.21821,0.4828,73.41176,28.23791,18.87051,133.23791,8.78049,238.23791,5.65414,-60.04696,-6.40861,74.35294,28.23791,18.89372,133.23791,14.26829,238.23791,16.3906
509,-70.59741,-95.37873,96.47059,28.2935,24.38564,133.2935,25.97561,238.2935,17.76092,-71.74849,-97.51323,97.41176,28.2935,24.67612,133.2935,21.58537,238.2935,12.70323,-63.08971,-105.91216,108.23529,28.2935,26.53284,133.2935,28.17073,238.2935,13.51394,-62.40047,1.23032,73.41176,28.2935,18.94553,133.2935,12.80488,238.2935,11.68621,-62.05944,-0.32953,73.41176,28.2935,18.84806,133.2935,8.78049,238.2935,7.6212,-59.6271,-6.92292,74.82353,28.2935,18.86939,133.2935,14.26829,238.2935,20.29622
510,-70.71185,-95.62641,96.94118,28.34908,24.42315,133.34908,25.97561,238.34908,19.38545,-71.95438,-98.00532,97.41176,28.34908,24.74693,133.34908,21.58537,238.34908,12.13861,-63.19781,-106.52309,108.23529,28.34908,26.61229,133.34908,28.17073,238.34908,14.46767,-62.21365,0.54522,73.41176,28.34908,18.93147,133.34908,12.80488,238.34908,10.12892,-61.9169,-1.15626,73.41176,28.34908,18.82463,133.34908,8.78049,238.34908,4.99293,-58.99035,-7.62485,75.76471,28.34908,18.8368,133.34908,14.26829,238.34908,19.0635
511,-70.8263,-95.87409,96.94118,28.40467,24.46067,133.40467,25.97561,238.40467,21.23809,-72.13925,-98.54118,98.35294,28.40467,24.82217,133.40467,21.58537,238.40467,15.94096,-63.12477,-107.11819,108.23529,28.40467,26.69174,133.40467,28.17073,238.40467,12.62351,-62.11628,-0.14296,73.41176,28.40467,18.91971,133.40467,12.80488,238.40467,10.12892,-61.67472,-1.96448,73.41176,28.40467,18.79452,133.40467,8.78049,238.40467,10.05029,-58.40189,-8.3232,75.29412,28.40467,18.81032,133.40467,14.26829,238.40467,6.7278
512,-71.05979,-96.29382,96.94118,28.46026,24.52801,133.46026,26.12826,238.46026,20.71291,-72.24234,-99.08047,98.35294,28.46026,24.89718,133.46026,21.58537,238.46026,14.54615,-63.14124,-107.7159,109.17647,28.46026,26.77118,133.46026,28.17073,238.46026,12.85517,-62.05651,-0.78577,73.41176,28.46026,18.90566,133.46026,12.80488,238.46026,11.05781,-61.58142,-2.59527,73.41176,28.46026,18.77207,133.46026,8.78049,238.46026,7.54459,-57.98195,-8.93364,76.23529,28.46026,18.78619,133.46026,14.26829,238.46026,6.5379
513,-71.432,-96.89135,97.41176,28.51584,24.62256,133.51584,26.34146,238.51584,9.82762,-72.35432,-99.65556,99.29412,28.51584,24.97663,133.51584,21.58537,238.51584,13.81162,-63.21333,-108.32262,109.17647,28.51584,26.85063,133.51584,28.17073,238.51584,13.47307,-61.97308,-1.4095,73.41176,28.51584,18.89308,133.51584,12.80488,238.51584,11.68621,-61.22369,-3.24752,73.41176,28.51584,18.74098,133.51584,9.14634,238.51584,12.5018,-57.62586,-9.55906,77.17647,28.51584,18.75544,133.51584,14.26829,238.51584,7.34799
514,-71.76598,-97.40033,96.47059,28.57143,24.70941,133.57143,26.34146,238.57143,9.92739,-72.28597,-100.20675,99.29412,28.57143,25.05608,133.57143,21.58537,238.57143,13.55497,-63.42136,-108.86267,109.17647,28.57143,26.91527,133.57143,28.17073,238.57143,13.31122,-61.8439,-2.01642,73.41176,28.57143,18.87324,133.57143,12.80488,238.57143,11.68621,-61.08947,-3.92634,73.88235,28.57143,18.71853,133.57143,9.04181,238.57143,8.15818,-57.24611,-10.21181,76.70588,28.57143,18.73457,133.57143,14.1115,238.57143,9.35027
515,-71.98653,-97.9264,97.41176,28.62702,24.7845,133.62702,26.34146,238.62702,12.20148,-71.95875,-100.6659,99.29412,28.62702,25.14317,133.62702,21.58537,238.62702,14.82064,-63.6475,-109.48607,108.23529,28.62702,26.99225,133.62702,28.17073,238.62702,14.23959,-61.68268,-2.62825,73.41176,28.62702,18.85266,133.62702,12.80488,238.62702,11.68621,-60.79504,-4.52975,73.88235,28.62702,18.69509,133.62702,8.78049,238.62702,10.46309,-56.93483,-10.91767,77.17647,28.62702,18.71845,133.62702,13.90244,238.62702,8.81121
516,-72.16818,-98.48071,97.41176,28.6826,24.86519,133.6826,26.34146,238.6826,14.63017,-71.67408,-101.16512,99.29412,28.6826,25.2278,133.6826,21.58537,238.6826,13.35144,-63.97539,-110.13216,108.23529,28.6826,27.06306,133.6826,28.17073,238.6826,10.7282,-61.48303,-3.27221,73.41176,28.6826,18.83335,133.6826,12.80488,238.6826,12.11644,-60.49758,-5.14901,73.88235,28.6826,18.66918,133.6826,8.41463,238.6826,10.00844,-56.76068,-11.54834,78.11765,28.6826,18.70521,133.6826,13.90244,238.6826,11.12088
517,-72.3025,-99.08007,98.35294,28.73819,24.95618,133.73819,26.1889,238.73819,14.82757,-71.26493,-101.62611,101.17647,28.73819,25.32033,133.73819,21.58537,238.73819,14.59142,-63.98242,-110.80188,108.23529,28.73819,27.12524,133.73819,28.17073,238.73819,9.65916,-61.22676,-3.93407,73.88235,28.73819,18.80663,133.73819,12.80488,238.73819,13.46792,-60.12585,-5.6922,74.35294,28.73819,18.64328,133.73819,8.04878,238.73819,10.59435,-56.55563,-12.15728,78.11765,28.73819,18.68962,133.73819,13.90244,238.73819,13.18557
518,-72.35041,-99.68533,99.29412,28.79377,25.04861,133.79377,25.97561,238.79377,12.88487,-70.90935,-102.03661,101.17647,28.79377,25.40841,133.79377,21.58537,238.79377,13.54873,-63.8248,-111.41789,108.23529,28.79377,27.1815,133.79377,28.17073,238.79377,11.31979,-60.95153,-4.57095,73.88235,28.79377,18.77463,133.79377,12.80488,238.79377,10.28022,-59.70837,-6.23538,74.35294,28.79377,18.626,133.79377,8.04878,238.79377,10.99893,-56.35596,-12.84935,78.11765,28.79377,18.67373,133.79377,13.90244,238.79377,12.14402
519,-72.21838,-100.22837,99.29412,28.84936,25.136,133.84936,25.97561,238.84936,12.13312,-70.51676,-102.41741,101.17647,28.84936,25.49031,133.84936,21.58537,238.84936,14.78755,-63.80821,-112.12245,108.23529,28.84936,27.24095,133.84936,28.17073,238.84936,11.58483,-60.64596,-5.12131,73.88235,28.84936,18.75061,133.84936,12.80488,238.84936,11.44626,-59.22125,-6.84351,74.82353,28.84936,18.6001,133.84936,8.04878,238.84936,10.33113,-56.07701,-13.52252,78.58824,28.84936,18.65685,133.84936,13.90244,238.84936,8.81121
520,-71.83246,-100.7072,99.29412,28.90495,25.22492,133.90495,26.10503,238.90495,13.55497,-70.00617,-102.73698,102.58824,28.90495,25.58457,133.90495,21.58537,238.90495,14.32263,-63.69947,-112.79197,108.23529,28.90495,27.30313,133.90495,28.17073,238.90495,10.66906,-60.26651,-5.61186,74.35294,28.90495,18.73349,133.90495,12.80488,238.90495,11.68621,-58.78273,-7.39615,74.82353,28.90495,18.58283,133.90495,7.68293,238.90495,10.28106,-55.83891,-14.22906,78.58824,28.90495,18.64693,133.90495,13.90244,238.90495,9.54547
521,-71.416,-101.14613,100.23529,28.96053,25.31942,133.96053,26.74274,238.96053,13.35783,-69.47103,-103.00196,102.58824,28.96053,25.6682,133.96053,21.58537,238.96053,13.55497,-63.49604,-113.43599,109.17647,28.96053,27.3653,133.96053,28.17073,238.96053,10.56789,-59.78117,-6.02892,74.35294,28.96053,18.71158,133.96053,12.80488,238.96053,11.68621,-58.24663,-7.88505,75.29412,28.96053,18.56555,133.96053,7.68293,238.96053,9.40867,-55.52703,-14.96303,79.52941,28.96053,18.63613,133.96053,13.90244,238.96053,10.12892
522,-70.92644,-101.50357,101.17647,29.01612,25.40638,134.01612,27.07317,239.01612,11.74343,-68.91991,-103.1636,102.58824,29.01612,25.7521,134.01612,21.58537,239.01612,12.7264,-63.31574,-113.9939,109.17647,29.01612,27.42748,134.01612,28.17073,239.01612,10.68255,-59.34808,-6.48169,74.35294,29.01612,18.68775,134.01612,12.80488,239.01612,11.68621,-57.76744,-8.42509,75.29412,29.01612,18.54828,134.01612,7.68293,239.01612,9.59636,-55.1301,-15.70965,80.47059,29.01612,18.62001,134.01612,13.90244,239.01612,7.68174
523,-70.76183,-101.90764,101.17647,29.07171,25.46993,134.07171,27.07317,239.07171,15.52238,-68.37044,-103.38398,103.52941,29.07171,25.83155,134.07171,21.58537,239.07171,13.87499,-63.19894,-114.56441,109.17647,29.07171,27.49829,134.07171,28.17073,239.07171,13.39182,-58.98588,-7.00558,74.82353,29.07171,18.66855,134.07171,12.80488,239.07171,11.68621,-57.32762,-9.01099,75.76471,29.07171,18.53374,134.07171,6.95122,239.07171,9.60311,-54.75536,-16.35793,80.47059,29.07171,18.60873,134.07171,13.40216,239.07171,9.20552
524,-70.28898,-102.26747,101.64706,29.12729,25.56309,134.12729,27.07317,239.12729,15.839,-67.79941,-103.61868,104.0,29.12729,25.911,134.12729,21.58537,239.12729,16.62137,-62.94827,-115.1469,109.17647,29.12729,27.57155,134.12729,28.17073,239.12729,12.95624,-58.59809,-7.50708,75.76471,29.12729,18.64872,134.12729,12.80488,239.12729,11.68621,-56.91912,-9.6485,76.70588,29.12729,18.52237,134.12729,6.95122,239.12729,9.33913,-54.47362,-17.01013,80.0,29.12729,18.59739,134.12729,12.43902,239.12729,8.40438
525,-70.00196,-102.45755,101.64706,29.18288,25.61147,134.18288,27.07317,239.18288,15.839,-67.30613,-103.82497,104.94118,29.18288,25.97418,134.18288,21.58537,239.18288,12.5018,-62.74407,-115.70099,109.17647,29.18288,27.64855,134.18288,28.17073,239.18288,12.18686,-58.14586,-7.9777,75.29412,29.18288,18.62651,134.18288,12.80488,239.18288,12.23511,-56.54795,-10.31001,76.70588,29.18288,18.51374,134.18288,6.95122,239.18288,8.71852,-54.12656,-17.61815,80.94118,29.18288,18.58316,134.18288,12.43902,239.18288,11.55493
526,-69.78976,-102.53572,102.58824,29.23847,25.64369,134.23847,27.07317,239.23847,17.53109,-66.75452,-103.95365,104.94118,29.23847,26.04398,134.23847,21.58537,239.23847,15.78836,-62.36041,-116.13611,110.11765,29.23847,27.77117,134.23847,28.17073,239.23847,13.25219,-57.68146,-8.48543,75.29412,29.23847,18.60665,134.23847,12.80488,239.23847,13.07019,-56.23872,-11.09441,76.70588,29.23847,18.5051,134.23847,6.42105,239.23847,7.86732,-53.86382,-18.3082,80.94118,29.23847,18.56734,134.23847,12.43902,239.23847,10.27779
527,-69.60855,-102.54468,102.58824,29.29405,25.66951,134.29405,27.07317,239.29405,21.43339,-66.10876,-103.93971,105.88235,29.29405,26.11479,134.29405,21.58537,239.29405,13.76261,-61.85205,-116.30154,110.11765,29.29405,27.8499,134.29405,28.17073,239.29405,13.86138,-57.25008,-9.0196,75.76471,29.29405,18.58412,134.29405,12.80488,239.29405,12.79587,-55.9737,-11.80624,77.64706,29.29405,18.50439,134.29405,5.85366,239.29405,8.06576,-53.51736,-18.89755,80.94118,29.29405,18.54493,134.29405,12.43902,239.29405,9.70333
528,-69.42734,-102.55364,102.58824,29.34964,25.69533,134.34964,27.07317,239.34964,26.81198,-65.49612,-104.04085,106.82353,29.34964,26.18561,134.34964,21.58537,239.34964,11.91107,-61.37955,-116.20161,110.58824,29.34964,27.91279,134.34964,27.43902,239.34964,15.73794,-56.82739,-9.60115,76.70588,29.34964,18.56647,134.34964,12.80488,239.34964,13.55497,-55.80283,-12.51166,78.11765,29.34964,18.49647,134.34964,5.85366,239.34964,8.78692,-53.16303,-19.43677,80.94118,29.34964,18.52692,134.34964,12.43902,239.34964,12.52596
529,-69.24613,-102.56261,102.58824,29.40523,25.72115,134.40523,27.07317,239.40523,30.0,-64.89957,-104.15129,106.82353,29.40523,26.25642,134.40523,21.58537,239.40523,15.1367,-60.89698,-116.05868,110.58824,29.40523,27.98117,134.40523,27.43902,239.40523,17.70576,-56.52439,-10.23523,76.70588,29.40523,18.55035,134.40523,12.80488,239.40523,7.57965,-55.61948,-13.21202,78.11765,29.40523,18.48539,134.40523,6.21951,239.40523,9.54963,-52.87179,-20.05605,81.88235,29.40523,18.51104,134.40523,12.43902,239.40523,12.28863
530,-69.00272,-102.65396,102.58824,29.46081,25.75979,134.46081,27.07317,239.46081,30.0,-64.35039,-104.49945,107.29412,29.46081,26.32723,134.46081,21.58537,239.46081,13.07318,-60.32518,-115.93864,111.52941,29.46081,28.05442,134.46081,27.07317,239.46081,16.88862,-56.27821,-10.87455,76.70588,29.46081,18.53584,134.46081,12.80488,239.46081,11.68621,-55.41692,-13.84995,78.58824,29.46081,18.47158,134.46081,6.21951,239.46081,11.08779,-52.57695,-20.73628,81.88235,29.46081,18.49681,134.46081,12.43902,239.46081,11.68621
531,-68.48193,-103.02499,103.52941,29.5164,25.84105,134.5164,27.07317,239.5164,22.48657,-63.89977,-104.85711,107.76471,29.5164,26.39804,134.5164,21.58537,239.5164,11.0622,-59.82741,-115.57502,111.52941,29.5164,28.13802,134.5164,27.61534,239.5164,13.8606,-56.02847,-11.58981,77.64706,29.5164,18.51898,134.5164,12.80488,239.5164,8.70349,-55.2231,-14.4442,78.58824,29.5164,18.46192,134.5164,5.85366,239.5164,10.62769,-52.35452,-21.41112,81.41176,29.5164,18.48069,134.5164,12.43902,239.5164,8.81121
532,-67.83528,-103.29544,103.52941,29.57198,25.92334,134.57198,27.07317,239.57198,11.68621,-63.57348,-105.30045,107.76471,29.57198,26.46021,134.57198,21.58537,239.57198,15.39115,-59.26644,-115.37938,112.47059,29.57198,28.21331,134.57198,27.80488,239.57198,12.71477,-55.7808,-12.30644,77.64706,29.57198,18.5051,134.57198,12.80488,239.57198,10.07079,-54.9765,-15.11103,79.52941,29.57198,18.44465,134.57198,5.85366,239.57198,11.18695,-52.17278,-22.04593,81.88235,29.57198,18.46696,134.57198,12.43902,239.57198,10.12892
533,-67.06187,-103.50499,104.94118,29.62757,26.02013,134.62757,27.07317,239.62757,9.20836,-63.33363,-105.88923,108.23529,29.62757,26.53966,134.62757,21.58537,239.62757,25.70019,-58.7527,-115.17729,112.47059,29.62757,28.28412,134.62757,28.17073,239.62757,13.67905,-55.57741,-13.03894,78.11765,29.62757,18.49738,134.62757,12.80488,239.62757,8.81121,-54.71086,-15.86148,80.47059,29.62757,18.42738,134.62757,5.12195,239.62757,8.70682,-51.96108,-22.8325,82.35294,29.62757,18.45708,134.62757,12.43902,239.62757,10.96824
534,-66.44059,-103.62768,105.88235,29.68316,26.08568,134.68316,27.07317,239.68316,7.70802,-63.32138,-106.57278,108.23529,29.68316,26.62774,134.68316,21.58537,239.68316,11.6523,-58.24192,-114.91419,113.41176,29.68316,28.36114,134.68316,28.27363,239.68316,14.14712,-55.41003,-13.7415,78.58824,29.68316,18.48126,134.68316,12.80488,239.68316,8.81121,-54.37726,-16.37979,79.05882,29.68316,18.41011,134.68316,5.12195,239.68316,10.14864,-51.74565,-23.75886,82.82353,29.68316,18.44344,134.68316,12.43902,239.68316,8.31416
535,-65.88109,-103.68761,105.88235,29.73874,26.14281,134.73874,27.07317,239.73874,11.99044,-63.28077,-107.25777,108.23529,29.73874,26.71583,134.73874,21.58537,239.73874,10.62843,-57.7339,-114.68683,113.41176,29.73874,28.43438,134.73874,28.53659,239.73874,13.65927,-55.19215,-14.38659,78.58824,29.73874,18.46751,134.73874,12.80488,239.73874,13.19902,-54.06449,-17.04825,80.0,29.73874,18.39283,134.73874,5.12195,239.73874,9.69918,-51.84611,-24.69471,83.29412,29.73874,18.43601,134.73874,12.43902,239.73874,5.11888
536,-65.2808,-103.80678,106.82353,29.79433,26.2072,134.79433,27.07317,239.79433,13.55497,-63.36391,-107.88531,109.17647,29.79433,26.79527,134.79433,21.58537,239.79433,10.50829,-57.2432,-114.4474,113.88235,29.79433,28.50104,134.79433,28.53659,239.79433,15.03205,-54.88203,-14.98868,79.52941,29.79433,18.45163,134.79433,12.80488,239.79433,11.52426,-53.65416,-17.62894,80.94118,29.79433,18.37141,134.79433,5.12195,239.79433,14.3584,-51.80065,-25.53199,83.76471,29.79433,18.42738,134.79433,12.43902,239.79433,6.54656
