cyclecount,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64
122,0.348992,0.0,0.0,0.082461,0.0,0.0,0.0,0.036194,0.0,0.0,0.007049,0.0,0.01181,0.0,0.007592,0.008866,0.0,0.0037,0.003475,0.001583,0.004705,0.008613,0.021334,0.463975,1.930732,0.382981,0.010932,0.003281,0.001154,0.001038,0.018451,0.610303,0.00942,0.002525,0.097004,0.319062,0.002742,0.047896,0.146813,0.150022,0.359467,0.505798,0.009481,0.304917,1.639607,0.087135,0.204751,0.096125,0.155285,0.132686,0.223666,0.032444,0.059278,0.024091,0.025443,0.043834,0.013816,0.01661,0.009096,0.011823,0.01054,0.010556,0.008101,0.011898
123,0.257099,0.0,0.0,0.078605,0.0,0.0,0.0,0.014064,0.0,0.0,0.018956,0.0,0.011537,0.0,0.012634,0.011785,0.0,0.006314,0.004654,0.00213,0.001591,0.006121,0.025398,0.422538,1.775599,0.364254,0.013114,0.002273,0.001441,0.000524,0.016477,0.522561,0.009363,0.002664,0.071413,0.22603,0.00341,0.077099,0.173437,0.220445,0.752744,0.613466,0.007758,0.298849,1.674628,0.128566,0.183644,0.084331,0.113668,0.118316,0.128402,0.026001,0.038423,0.018548,0.023541,0.05072,0.012106,0.011697,0.012004,0.010649,0.011236,0.011318,0.013908,0.012555
124,0.25115,0.0,0.0,0.046674,0.0,0.0,0.0,0.013008,0.0,0.0,0.012175,0.0,0.0111,0.0,0.002355,0.003194,0.0,0.000363,0.00055,0.001365,0.00186,0.00754,0.01605,0.384826,1.631876,0.321063,0.007965,0.002967,0.001618,0.002147,0.012287,0.439253,0.003336,0.001063,0.045131,0.146741,0.003104,0.153897,0.274771,0.294967,1.100933,0.790533,0.004452,0.297928,1.638165,0.126753,0.191752,0.084371,0.104535,0.091182,0.054063,0.01728,0.017519,0.017265,0.013462,0.054397,0.012953,0.011377,0.010631,0.009522,0.007968,0.011069,0.009552,0.010042
125,0.337066,0.0,0.0,0.127596,0.0,0.0,0.0,0.114323,0.0,0.0,0.097711,0.0,0.31956,0.0,0.420826,0.179372,0.0,0.096376,0.083289,0.066478,0.078863,0.108283,0.265738,0.629373,1.442875,0.611869,0.053763,0.078294,0.111193,0.251403,0.305074,0.306549,0.082109,0.108895,0.235594,0.152784,0.15857,0.314732,0.734971,0.390846,1.259393,1.073885,0.377853,0.595272,1.427328,0.646941,0.420823,0.101609,0.134359,0.474101,0.640572,0.191442,0.423941,0.188121,0.142876,0.1569,0.125544,0.034287,0.02586,0.00919,0.010816,0.008984,0.007625,0.009573
126,0.294674,0.0,0.0,0.149375,0.0,0.0,0.0,0.241523,0.0,0.0,0.120555,0.0,0.648411,0.0,1.246777,0.327191,0.0,0.057831,0.091168,0.034986,0.002044,0.07431,0.137105,2.430955,2.930771,0.357978,0.103887,0.043451,0.059079,0.147218,1.674671,0.923762,0.098591,0.075435,1.533181,0.068662,0.082372,1.183376,0.195244,2.322082,0.98601,1.830544,1.354516,3.319521,4.052326,2.545339,1.559964,0.399959,0.635959,1.615578,1.625157,0.357457,1.368622,0.708445,0.593417,0.252381,0.358167,0.064413,0.0489,0.016277,0.01142,0.007971,0.008763,0.02023
127,0.349368,0.0,0.0,0.133586,0.0,0.0,0.0,0.247694,0.0,0.0,0.169002,0.0,0.462532,0.0,0.467671,0.124368,0.0,0.024437,0.022363,0.067914,0.074669,0.035706,0.083035,2.535163,2.143089,0.306987,0.026151,0.007176,0.016142,0.015469,1.847933,1.070317,0.015388,0.02623,1.367064,0.05424,0.005724,1.147071,0.181958,1.732746,0.634125,1.795443,1.4115,3.046896,3.748084,2.235087,1.398216,0.428723,0.565448,0.94827,1.478287,0.272382,0.844015,0.625045,0.355919,0.223217,0.195579,0.033021,0.016761,0.009191,0.012716,0.009073,0.011592,0.012118
128,0.339408,0.0,0.0,0.060049,0.0,0.0,0.0,0.049952,0.0,0.0,0.099701,0.0,0.133298,0.0,0.112926,0.046365,0.0,0.030696,0.022967,0.009013,0.017465,0.015045,0.117306,2.51243,2.714014,0.043205,0.018539,0.007924,0.015619,0.015444,1.688675,0.933553,0.015467,0.020555,1.121761,0.042815,0.006328,1.030157,0.135347,1.363921,0.439621,1.626047,1.213513,2.715082,3.058145,2.036616,1.246091,0.371465,0.416934,0.920858,1.128999,0.178502,0.733188,0.444702,0.150116,0.192675,0.106635,0.025199,0.023785,0.011103,0.011374,0.010048,0.007725,0.013406
129,0.319596,0.0,0.0,0.096376,0.0,0.0,0.0,0.165824,0.0,0.0,0.092984,0.0,0.010019,0.0,0.084518,0.030303,0.0,0.016973,0.013958,0.006177,0.010649,0.022001,0.072484,2.56156,2.315576,0.135034,0.010868,0.00757,0.013418,0.011353,1.477503,0.786944,0.016825,0.016067,1.022105,0.028964,0.003292,0.993185,0.097235,1.149673,0.308726,1.470427,0.989913,1.998516,2.187973,1.609512,1.004521,0.393897,0.341406,0.810205,0.80149,0.125998,0.684609,0.271832,0.052672,0.153467,0.078207,0.014965,0.015729,0.007265,0.008438,0.009316,0.009503,0.013372
130,0.333348,0.0,0.0,0.087541,0.0,0.0,0.0,0.091906,0.0,0.0,0.071682,0.0,0.051157,0.0,0.04346,0.036071,0.0,0.028349,0.022678,0.006121,0.001049,0.035929,0.077034,2.559554,2.4616,0.081779,0.009751,0.008754,0.009107,0.005254,1.272865,0.685721,0.010658,0.011454,0.92533,0.017782,0.004293,0.956304,0.05669,0.939078,0.208106,1.294872,0.728722,1.494479,1.606138,1.195273,0.750264,0.366989,0.332967,0.660533,0.574384,0.089854,0.66153,0.19737,0.052058,0.143116,0.065626,0.012412,0.010467,0.007738,0.011309,0.008765,0.006649,0.011447
131,0.343416,0.0,0.0,0.145618,0.0,0.0,0.0,0.154054,0.0,0.0,0.069909,0.0,0.043777,0.0,0.03954,0.023726,0.0,0.009605,0.002355,0.009717,0.001696,0.013657,0.091221,2.495841,2.289017,0.105739,0.007259,0.00553,0.007189,0.006062,1.116721,0.588926,0.007274,0.007288,0.81351,0.026095,0.004296,0.862564,0.029719,0.827942,0.139356,1.160623,0.562444,1.173586,1.17771,1.086492,0.594945,0.340946,0.306221,0.5344,0.46318,0.071052,0.613132,0.205776,0.048046,0.110373,0.050267,0.013071,0.014592,0.006986,0.008204,0.009836,0.007657,0.011365
132,0.346703,0.0,0.0,0.045796,0.0,0.0,0.0,0.041513,0.0,0.0,0.050332,0.0,0.0665,0.0,0.081086,0.019326,0.0,0.013052,0.007358,0.009711,0.001298,0.026725,0.064647,2.321495,2.193365,0.063861,0.006272,0.002729,0.003153,0.003778,0.981804,0.507962,0.004296,0.005293,0.677729,0.010638,0.004363,0.768359,0.02809,0.763317,0.104714,1.00347,0.473288,0.918783,0.928355,0.986741,0.52498,0.315112,0.263113,0.472457,0.421904,0.06766,0.523387,0.157007,0.058789,0.079631,0.033904,0.010201,0.00831,0.008999,0.007284,0.007145,0.006794,0.011283
133,0.340238,0.0,0.0,0.043569,0.0,0.0,0.0,0.013056,0.0,0.0,0.01729,0.0,0.030629,0.0,0.029803,0.014076,0.0,0.004777,0.002993,0.002846,0.004834,0.021293,0.070754,2.251253,2.11085,0.084617,0.004952,0.002055,0.001878,0.003305,0.856353,0.440371,0.003667,0.006343,0.549439,0.014514,0.002958,0.670474,0.026502,0.662487,0.066589,0.885814,0.414488,0.857985,0.800102,1.00941,0.436664,0.299154,0.216718,0.444921,0.38756,0.05386,0.404116,0.110674,0.108226,0.058676,0.044029,0.014242,0.01016,0.010047,0.008835,0.007784,0.008565,0.013836
134,0.311454,0.0,0.0,0.012721,0.0,0.0,0.0,0.011244,0.0,0.0,0.001614,0.0,0.015391,0.0,0.012158,0.008509,0.0,0.005209,0.001388,0.001942,0.007252,0.014872,0.077901,2.175103,2.019245,0.078468,0.005682,0.002071,0.001469,0.004597,0.74082,0.377398,0.002346,0.003087,0.477765,0.010611,0.005182,0.595641,0.012894,0.613212,0.040199,0.772182,0.361553,0.8099,0.612607,0.955398,0.345852,0.279003,0.19757,0.405122,0.343997,0.041852,0.3568,0.089946,0.138408,0.037958,0.035653,0.013289,0.007824,0.008534,0.009183,0.007654,0.00757,0.012544
135,0.303116,0.0,0.0,0.007782,0.0,0.0,0.0,0.00904,0.0,0.0,0.002242,0.0,0.008118,0.0,0.013883,0.001949,0.0,0.003468,0.001471,0.003246,0.00483,0.02047,0.067148,2.108625,1.96413,0.068984,0.007136,0.003138,0.002791,0.002362,0.655904,0.315445,0.001945,0.005336,0.437334,0.010761,0.002811,0.524413,0.019003,0.58525,0.021647,0.615614,0.281268,0.392539,0.539853,0.922096,0.266566,0.215115,0.128886,0.355419,0.292902,0.036557,0.246965,0.078326,0.116128,0.030841,0.025634,0.009415,0.007731,0.009951,0.007488,0.007352,0.00757,0.018677
136,0.323119,0.0,0.0,0.007738,0.0,0.0,0.0,0.004016,0.0,0.0,0.014028,0.0,0.009776,0.0,0.004623,0.003348,0.0,0.001749,0.000951,0.004938,0.003564,0.013823,0.072936,2.054791,1.905053,0.06807,0.00531,0.002512,0.001098,0.003517,0.638423,0.310805,0.001744,0.003867,0.429424,0.00819,0.006264,0.506636,0.017409,0.571764,0.019944,0.585527,0.264292,0.324078,0.497598,0.895418,0.248812,0.1979,0.117681,0.342691,0.282075,0.034561,0.220367,0.076771,0.10674,0.030374,0.018922,0.009366,0.007763,0.010323,0.010211,0.008654,0.008652,0.01513
137,0.312527,0.0,0.0,0.001563,0.0,0.0,0.0,0.0079,0.0,0.0,0.011816,0.0,0.010901,0.0,0.010534,0.003306,0.0,0.001877,0.002317,0.003372,0.003145,0.015396,0.073236,1.994281,1.854361,0.073537,0.006736,0.001646,0.001086,0.003314,0.618481,0.298355,0.005208,0.003596,0.416329,0.010138,0.006437,0.491555,0.007568,0.552205,0.011297,0.564744,0.25461,0.322354,0.482728,0.874136,0.238033,0.189835,0.116379,0.329429,0.271145,0.029547,0.209881,0.070507,0.107954,0.032548,0.023573,0.010253,0.009556,0.00842,0.009097,0.008384,0.009881,0.011529
138,0.306792,0.0,0.0,0.012781,0.0,0.0,0.0,0.010398,0.0,0.0,0.01432,0.0,0.013803,0.0,0.004201,0.006533,0.0,0.002529,0.002021,0.00412,0.002456,0.020431,0.058773,1.953489,1.811386,0.062258,0.005202,0.003265,0.001536,0.002399,0.606156,0.295807,0.002934,0.005151,0.407472,0.005313,0.004421,0.481199,0.008659,0.542129,0.015352,0.553679,0.248191,0.311407,0.472096,0.858431,0.234597,0.186153,0.116245,0.326122,0.266964,0.034924,0.196804,0.066907,0.09647,0.029646,0.019665,0.00919,0.011519,0.010785,0.009703,0.01086,0.009751,0.012559
139,0.258594,0.0,0.0,0.01827,0.0,0.0,0.0,0.010587,0.0,0.0,0.01328,0.0,0.009768,0.0,0.009614,0.002708,0.0,0.002968,0.000736,0.004331,0.002952,0.015481,0.066925,1.9058,1.770384,0.069792,0.006182,0.00291,0.002162,0.00284,0.591048,0.288191,0.00355,0.003475,0.396769,0.00749,0.004156,0.470336,0.010228,0.527916,0.013583,0.537936,0.243458,0.308,0.460886,0.832638,0.228851,0.185839,0.114408,0.316771,0.259076,0.033084,0.196249,0.065172,0.100913,0.030345,0.020034,0.007729,0.011424,0.008003,0.009441,0.010468,0.008447,0.011724
140,0.316226,0.0,0.0,0.156143,0.0,0.0,0.0,0.108985,0.0,0.0,0.238784,0.0,0.498922,0.0,0.511339,0.194087,0.0,0.09039,0.083346,0.096002,0.09842,0.328096,0.503993,1.499702,1.826816,0.153134,0.084059,0.120639,0.262306,0.29854,0.497647,0.291759,0.114365,0.210039,0.496716,0.22038,0.310456,0.477446,0.355558,0.60647,0.810892,0.630138,0.629022,0.696285,0.49474,1.080687,0.18167,0.186789,0.251247,0.607827,0.429686,0.240282,0.331548,0.162223,0.122454,0.13095,0.037729,0.026992,0.017274,0.011037,0.007029,0.007553,0.008779,0.011161
141,0.285596,0.0,0.0,0.200018,0.0,0.0,0.0,0.213737,0.0,0.0,0.264848,0.0,1.456361,0.0,1.132134,0.029334,0.0,0.089118,0.036182,0.011449,0.064993,0.420721,2.292993,2.479072,1.348728,0.260016,0.064675,0.063522,0.212866,1.706211,0.411278,0.167154,0.08425,1.41783,0.332249,0.114367,1.185819,0.370046,2.438101,0.462206,2.459777,1.121157,4.6199,3.14635,2.720498,1.979261,0.479387,0.57898,0.980169,1.684814,1.409005,0.445272,0.806785,0.603877,0.269648,0.391667,0.061543,0.061805,0.046215,0.02658,0.00847,0.008137,0.007914,0.018837
142,0.322698,0.0,0.0,0.133763,0.0,0.0,0.0,0.256261,0.0,0.0,0.216334,0.0,0.880037,0.0,0.61788,0.071158,0.0,0.036471,0.07795,0.073255,0.043449,0.254098,2.466822,3.016981,0.772147,0.061377,0.013536,0.021662,0.048028,1.79823,0.290128,0.148341,0.035483,1.466984,0.20323,0.060793,1.136853,0.238661,1.906124,0.262474,2.472016,1.289926,4.61404,2.74322,2.725412,1.505297,0.492966,0.529901,0.626155,1.592759,0.801371,0.30264,0.61524,0.393553,0.163347,0.245902,0.02127,0.016724,0.027694,0.008706,0.008953,0.008657,0.009405,0.018037
143,0.308598,0.0,0.0,0.109066,0.0,0.0,0.0,0.127598,0.0,0.0,0.012777,0.0,0.165956,0.0,0.10814,0.048445,0.0,0.019059,0.01296,0.009946,0.025635,0.259958,2.470168,2.922351,0.548736,0.0216,0.008585,0.019016,0.044918,1.657272,0.206346,0.089827,0.021972,1.164253,0.134302,0.054066,1.022841,0.160689,1.462836,0.184434,2.24323,1.155147,4.046848,2.307676,2.274608,1.526777,0.490701,0.409041,0.531128,1.325312,0.720591,0.185041,0.470556,0.172394,0.087721,0.118503,0.032677,0.027841,0.016579,0.007306,0.009217,0.012263,0.010678,0.016537
144,0.350639,0.0,0.0,0.111525,0.0,0.0,0.0,0.103452,0.0,0.0,0.04743,0.0,0.109961,0.0,0.072601,0.039325,0.0,0.015642,0.005444,0.014467,0.018454,0.227503,2.420614,2.712318,0.355883,0.035162,0.016463,0.008954,0.053897,1.501072,0.163763,0.063098,0.010728,1.060269,0.093878,0.059561,0.97386,0.107587,1.277131,0.109682,2.076592,1.02768,3.182495,1.680428,1.917593,1.228544,0.437774,0.287191,0.425631,0.985025,0.61902,0.088619,0.315822,0.137707,0.073091,0.085556,0.019467,0.016174,0.011576,0.00829,0.010523,0.011035,0.00913,0.01278
145,0.335875,0.0,0.0,0.136714,0.0,0.0,0.0,0.178261,0.0,0.0,0.11098,0.0,0.062505,0.0,0.033535,0.032417,0.0,0.023641,0.018788,0.006599,0.026034,0.25832,2.539834,2.722566,0.281914,0.018307,0.007612,0.011173,0.039858,1.332227,0.13955,0.048666,0.007015,0.957056,0.063379,0.057662,0.943316,0.075881,1.059449,0.078236,1.887116,0.804129,2.378033,1.291786,1.322305,0.993007,0.423574,0.214669,0.359006,0.704915,0.606974,0.065399,0.219668,0.12421,0.055796,0.068408,0.01133,0.014834,0.009244,0.006943,0.007053,0.007754,0.009049,0.01262
146,0.344455,0.0,0.0,0.041619,0.0,0.0,0.0,0.06105,0.0,0.0,0.064873,0.0,0.075206,0.0,0.09706,0.039463,0.0,0.020151,0.010664,0.01003,0.014421,0.251605,2.502934,2.6394,0.243855,0.010411,0.005783,0.005888,0.039447,1.140506,0.123253,0.034672,0.006003,0.864897,0.043705,0.052744,0.888879,0.055425,0.907356,0.058311,1.667154,0.604343,1.82409,0.917774,1.105918,0.734484,0.39909,0.16627,0.301904,0.508901,0.571628,0.063794,0.233942,0.113307,0.037054,0.063707,0.010227,0.011325,0.009601,0.007734,0.007161,0.008974,0.007466,0.011865
147,0.327719,0.0,0.0,0.151682,0.0,0.0,0.0,0.10758,0.0,0.0,0.069686,0.0,0.089469,0.0,0.075127,0.019346,0.0,0.006148,0.005128,0.01121,0.0207,0.236525,2.374654,2.523513,0.207095,0.007267,0.005197,0.008036,0.028337,1.026758,0.112299,0.019893,0.002246,0.747114,0.031868,0.048386,0.797431,0.037336,0.840177,0.045457,1.503201,0.507171,1.439974,0.718671,1.026983,0.619994,0.360693,0.154048,0.260797,0.444316,0.526873,0.058985,0.226583,0.092067,0.025249,0.04391,0.010342,0.009359,0.007253,0.008281,0.010158,0.008505,0.007298,0.010917
148,0.297787,0.0,0.0,0.055408,0.0,0.0,0.0,0.02457,0.0,0.0,0.035418,0.0,0.090544,0.0,0.041878,0.026198,0.0,0.010687,0.012078,0.003731,0.015863,0.225453,2.25554,2.433881,0.158171,0.009716,0.004195,0.003579,0.02472,0.918152,0.099698,0.011567,0.002264,0.628601,0.01984,0.046363,0.72035,0.022303,0.764607,0.03564,1.322356,0.444294,1.178202,0.568334,0.979669,0.561463,0.323319,0.155954,0.240045,0.396478,0.451013,0.051325,0.175396,0.072676,0.021451,0.041594,0.009091,0.007491,0.007939,0.008112,0.009093,0.007702,0.007736,0.009714
149,0.348478,0.0,0.0,0.047337,0.0,0.0,0.0,0.019905,0.0,0.0,0.038106,0.0,0.04749,0.0,0.036322,0.012276,0.0,0.007633,0.001948,0.007604,0.013337,0.209736,2.164553,2.347692,0.109524,0.008375,0.002931,0.003506,0.022906,0.806649,0.084501,0.009346,0.001733,0.526338,0.012207,0.039901,0.632789,0.016014,0.673264,0.043346,1.178129,0.409697,1.081548,0.509929,0.99468,0.449645,0.314117,0.14921,0.224762,0.346754,0.335629,0.059955,0.115023,0.095303,0.022059,0.048257,0.00853,0.008735,0.009192,0.008541,0.008021,0.007277,0.006788,0.011684
150,0.314811,0.0,0.0,0.007132,0.0,0.0,0.0,0.006259,0.0,0.0,0.005068,0.0,0.007203,0.0,0.007857,0.002092,0.0,0.003586,0.003948,0.004918,0.018562,0.211996,2.102152,2.271677,0.068338,0.008814,0.004467,0.002195,0.01835,0.704448,0.07401,0.009656,0.002092,0.456243,0.009828,0.037805,0.565307,0.011027,0.620381,0.028706,1.046994,0.370527,0.945537,0.472643,0.942413,0.374045,0.291386,0.131574,0.208508,0.312076,0.312581,0.068885,0.113347,0.111596,0.030841,0.032283,0.008536,0.009013,0.008937,0.010183,0.00671,0.006905,0.006484,0.012754
151,0.317391,0.0,0.0,0.005254,0.0,0.0,0.0,0.010349,0.0,0.0,0.017134,0.0,0.01747,0.0,0.005061,0.003189,0.0,0.002923,0.002077,0.008644,0.010275,0.201118,2.038848,2.202423,0.057782,0.016654,0.002909,0.00232,0.01915,0.63386,0.054719,0.003405,0.002972,0.417811,0.007051,0.045242,0.49541,0.004121,0.596472,0.02604,0.91621,0.262345,0.662968,0.4518,0.905549,0.285747,0.2446,0.107947,0.178733,0.273373,0.242267,0.065554,0.114144,0.088134,0.030835,0.029724,0.009297,0.009228,0.010971,0.012268,0.010161,0.008207,0.009229,0.012654
152,0.317658,0.0,0.0,0.003213,0.0,0.0,0.0,0.005749,0.0,0.0,0.005122,0.0,0.009428,0.0,0.008916,0.003354,0.0,0.004219,0.00235,0.005483,0.013278,0.200873,1.999046,2.154075,0.053672,0.01177,0.003213,0.002124,0.017559,0.617106,0.056388,0.002029,0.002323,0.40151,0.004466,0.052789,0.471356,0.004542,0.572501,0.011207,0.860806,0.221664,0.532017,0.445164,0.875898,0.253438,0.224977,0.10658,0.167835,0.274132,0.225465,0.058999,0.111032,0.080888,0.026323,0.021846,0.012014,0.011043,0.011275,0.009866,0.011304,0.007838,0.012021,0.011574
153,0.251669,0.0,0.0,0.010337,0.0,0.0,0.0,0.009442,0.0,0.0,0.009366,0.0,0.009314,0.0,0.001599,0.002567,0.0,0.003599,0.001787,0.006406,0.015917,0.197996,1.949114,2.096237,0.05285,0.009954,0.004386,0.003209,0.014387,0.60103,0.054955,0.00182,0.002087,0.39149,0.002061,0.051129,0.460349,0.001899,0.558983,0.011051,0.832903,0.217642,0.52027,0.446032,0.86089,0.246396,0.21619,0.102197,0.163618,0.260324,0.225088,0.061733,0.109895,0.078546,0.030692,0.022558,0.010858,0.009076,0.009725,0.010557,0.008208,0.012184,0.010593,0.012521
154,0.216656,0.0,0.0,0.004251,0.0,0.0,0.0,0.013045,0.0,0.0,0.012571,0.0,0.017763,0.0,0.00737,0.003982,0.0,0.003557,0.001426,0.007964,0.009899,0.189012,1.897361,2.041629,0.060241,0.01238,0.002339,0.001585,0.016798,0.586316,0.052828,0.003286,0.001704,0.380514,0.002277,0.048312,0.446795,0.002002,0.548342,0.011065,0.821681,0.220291,0.504876,0.421275,0.831753,0.246408,0.214862,0.099865,0.158804,0.251241,0.216391,0.054384,0.097501,0.068864,0.029859,0.02195,0.008657,0.011432,0.009279,0.007309,0.010944,0.011954,0.009786,0.01175
155,0.326129,0.0,0.0,0.144692,0.0,0.0,0.0,0.17068,0.0,0.0,0.412085,0.0,0.674512,0.0,0.577048,0.194004,0.0,0.097419,0.10618,0.14512,0.253334,0.523356,2.212715,1.778975,0.100069,0.199702,0.150461,0.260498,0.263296,0.457716,0.080074,0.054612,0.212275,0.350032,0.282549,0.302694,0.459741,0.076458,0.602509,0.86352,0.76916,0.513116,0.518146,0.879459,1.035659,0.31824,0.276906,0.233988,0.35498,0.454411,0.310787,0.137004,0.162783,0.155455,0.086785,0.032496,0.02673,0.025105,0.012577,0.013168,0.008277,0.008997,0.007879,0.010234
156,0.277245,0.0,0.0,0.251711,0.0,0.0,0.0,0.109952,0.0,0.0,0.949255,0.0,1.789049,0.0,0.410448,0.139355,0.0,0.038771,0.010887,0.0633,0.12579,2.074474,1.153383,1.342527,0.151359,0.144366,0.124213,0.209905,1.635219,0.515417,0.022651,0.0963,1.346795,0.240136,0.261291,1.025234,0.341541,0.58151,1.774936,3.042939,1.659252,4.069731,2.13093,2.517065,1.808292,0.544174,0.65562,1.027458,0.872674,1.381567,0.686147,0.644195,0.252798,0.373734,0.386184,0.070704,0.061648,0.04323,0.036916,0.0147,0.009438,0.009661,0.00836,0.013361
157,0.264285,0.0,0.0,0.152915,0.0,0.0,0.0,0.224411,0.0,0.0,0.730986,0.0,1.286663,0.0,0.524556,0.106903,0.0,0.093699,0.059972,0.042937,0.035283,2.607168,1.272952,0.936686,0.067329,0.037469,0.022159,0.021811,1.825921,0.259449,0.030727,0.033658,1.587498,0.187809,0.304981,1.077324,0.213741,0.496104,2.182596,2.76924,1.979555,4.236559,2.089855,2.330402,0.528798,0.487526,0.658154,0.631311,0.857556,0.887188,0.664186,0.510658,0.23944,0.275034,0.243482,0.039829,0.018374,0.040942,0.014901,0.017872,0.011428,0.011183,0.010891,0.017616
158,0.320268,0.0,0.0,0.191894,0.0,0.0,0.0,0.203453,0.0,0.0,0.238441,0.0,0.089794,0.0,0.074502,0.032038,0.0,0.019502,0.040485,0.014762,0.023724,2.775366,2.1918,0.718045,0.026461,0.016293,0.020016,0.050112,1.72156,0.210477,0.023163,0.026862,1.224944,0.129374,0.286966,0.988562,0.150294,0.373637,2.012371,2.537701,1.767474,3.80167,1.842396,2.062438,1.069718,0.470142,0.536587,0.596692,0.774951,0.686306,0.528345,0.342739,0.219513,0.106255,0.122324,0.02666,0.016867,0.020716,0.014894,0.011502,0.007393,0.009436,0.008701,0.014326
159,0.35654,0.0,0.0,0.076067,0.0,0.0,0.0,0.089846,0.0,0.0,0.137029,0.0,0.111569,0.0,0.129127,0.050319,0.0,0.014166,0.007467,0.016953,0.059624,2.645022,2.339611,0.533491,0.004656,0.02047,0.01217,0.022721,1.602511,0.124799,0.015164,0.016759,1.109301,0.091103,0.257616,0.917173,0.106291,0.327591,1.834897,2.338575,1.595962,3.228621,1.977376,1.909196,0.550037,0.506644,0.385108,0.463841,0.613143,0.657539,0.387374,0.185423,0.176423,0.078373,0.082285,0.028374,0.020034,0.02032,0.008584,0.007518,0.010344,0.008547,0.007068,0.012336
160,0.334657,0.0,0.0,0.161423,0.0,0.0,0.0,0.149203,0.0,0.0,0.013018,0.0,0.097144,0.0,0.090911,0.034225,0.0,0.001258,0.006328,0.006635,0.018725,2.639728,1.942417,0.342023,0.026407,0.01999,0.006806,0.015827,1.431577,0.095643,0.007751,0.011051,1.019169,0.064127,0.278857,0.909756,0.070651,0.285311,1.705721,2.16055,1.331701,2.465834,1.577398,1.52857,0.685062,0.487516,0.29613,0.408832,0.449133,0.62182,0.257169,0.086066,0.146612,0.061014,0.067373,0.02302,0.014533,0.013808,0.013227,0.007158,0.009847,0.007103,0.008572,0.014004
161,0.316413,0.0,0.0,0.129054,0.0,0.0,0.0,0.081836,0.0,0.0,0.051644,0.0,0.034409,0.0,0.119867,0.041904,0.0,0.004722,0.00565,0.01628,0.050396,2.613705,1.665863,0.206443,0.006825,0.01808,0.009123,0.028493,1.256316,0.062381,0.008943,0.012405,0.928769,0.040172,0.258639,0.872247,0.051094,0.236178,1.521719,1.88349,1.029681,1.917687,1.178683,1.177545,0.371497,0.491035,0.224095,0.337936,0.343748,0.60076,0.230218,0.051674,0.134662,0.054118,0.074272,0.017686,0.009982,0.010191,0.008118,0.006702,0.009006,0.007672,0.007969,0.014464
162,0.354529,0.0,0.0,0.066473,0.0,0.0,0.0,0.066848,0.0,0.0,0.042218,0.0,0.092734,0.0,0.102402,0.011018,0.0,0.01175,0.009078,0.018092,0.005128,2.566548,1.669593,0.140549,0.007126,0.009571,0.004496,0.019212,1.113345,0.049586,0.006037,0.009002,0.838331,0.029719,0.237151,0.806752,0.03537,0.203704,1.400608,1.723276,0.813769,1.530396,1.0758,0.994054,0.361016,0.4722,0.18371,0.269124,0.272999,0.569672,0.242567,0.060118,0.116826,0.030739,0.055389,0.011012,0.010003,0.00945,0.009841,0.007035,0.005999,0.00709,0.008201,0.013813
163,0.314809,0.0,0.0,0.12284,0.0,0.0,0.0,0.059689,0.0,0.0,0.085655,0.0,0.127867,0.0,0.055217,0.01071,0.0,0.000153,0.005343,0.009473,0.02969,2.441727,1.737464,0.121354,0.006557,0.011326,0.005991,0.019469,1.004929,0.035721,0.004088,0.010232,0.731431,0.018416,0.224887,0.735897,0.021652,0.194001,1.258029,1.540444,0.712936,1.243367,0.940839,0.894348,0.316367,0.425828,0.16968,0.242231,0.238196,0.51469,0.210189,0.058062,0.095906,0.022864,0.040705,0.011628,0.009922,0.007968,0.008721,0.007738,0.008917,0.008704,0.008371,0.010954
164,0.307943,0.0,0.0,0.037768,0.0,0.0,0.0,0.041185,0.0,0.0,0.066137,0.0,0.057293,0.0,0.060081,0.027325,0.0,0.013685,0.005797,0.005613,0.026561,2.343583,1.701304,0.099204,0.003435,0.003746,0.001763,0.01959,0.906196,0.037216,0.002162,0.007597,0.625462,0.011616,0.201472,0.669064,0.017588,0.177767,1.120061,1.362094,0.608058,1.044588,0.897997,0.838549,0.276036,0.398377,0.173246,0.217403,0.197405,0.441342,0.166305,0.052178,0.081148,0.039407,0.026693,0.007213,0.010667,0.009943,0.008737,0.007245,0.007071,0.007658,0.006352,0.011647
165,0.31874,0.0,0.0,0.036854,0.0,0.0,0.0,0.024245,0.0,0.0,0.019661,0.0,0.039519,0.0,0.037259,0.008296,0.0,0.002198,0.000459,0.011137,0.021064,2.256858,1.58139,0.061902,0.0072,0.007571,0.000536,0.014265,0.810176,0.026264,0.002742,0.006427,0.529777,0.008089,0.182569,0.600193,0.010334,0.15988,1.012608,1.224669,0.570546,0.981139,0.927363,0.837638,0.263782,0.368797,0.165406,0.207776,0.170793,0.350313,0.110513,0.07082,0.056197,0.041203,0.023847,0.010578,0.008158,0.009606,0.010427,0.006838,0.008312,0.009568,0.007538,0.013668
